Region,Geog_Area,CV_Density_Cat,Site,Replicate,Sample_No,Site_No,Heather_Density,Measured_Heather_Category,Heather_Code,Plot,AMF,Code,Tube code,Subsample_weight,,,,,,,,,,,,,,,,,
Central,D,L,11,5,P55,11,0,Low,0,5,32.3,11-0-5,55,0.537,,,,,,,,,,,,,,,,,
Central,D,M,12,1,P56,12,50,Medium,50,1,20,12-50-1,56,0.4599,,,,,,,,,,,,,,,,,
Central,D,M,12,2,P57,12,40,Medium,50,2,30.3,12-50-2,57,0.5327,,,,,,,,,,,,,,,,,
Central,D,M,12,3,P58,12,50,Medium,50,3,37.6,12-50-3,58,0.4633,,,,,,,,,,,,,,,,,
Central,D,M,12,4,P59,12,80,High,50,4,29,12-50-4,59,0.5124,,,,,,,,,,,,,,,,,
Central,D,M,12,5,P60,12,60,Medium,50,5,25,12-50-5,60,0.5323,,,,,,,,,,,,,,,,,
Central,E,M,13,1,P61,13,40,Medium,50,1,20.3,13-50-1,61,0.4752,,,,,,,,,,,,,,,,,
Central,E,M,13,2,P62,13,30,Medium,50,2,25,13-50-2,62,0.5091,,,,,,,,,,,,,,,,,
Central,E,M,13,3,P63,13,15,Medium,50,3,20.3,13-50-3,63,0.4525,,,,,,,,,,,,,,,,,
Central,E,M,13,4,P64,13,20,Medium,50,4,19.3,13-50-4,64,0.4799,,,,,,,,,,,,,,,,,
Central,E,M,13,5,P65,13,50,Medium,50,5,18.3,13-50-5,65,0.4677,,,,,,,,,,,,,,,,,
Central,E,H,14,1,P66,14,60,Medium,100,1,32,14-100-1,66,0.4535,,,,,,,,,,,,,,,,,
Central,E,H,14,2,P67,14,80,High,100,2,13,14-100-2,67,0.4676,,,,,,,,,,,,,,,,,
Central,E,H,14,3,P68,14,70,High,100,3,14.3,14-100-3,68,0.4765,,,,,,,,,,,,,,,,,
Central,E,H,14,4,P69,14,40,Medium,100,4,22.7,14-100-4,69,0.5329,,,,,,,,,,,,,,,,,
Central,E,H,14,5,P70,14,70,High,100,5,22.7,14-100-5,70,0.5078,,,,,,,,,,,,,,,,,
Central,E,L,15,1,P71,15,0,Low,0,1,43,15-0-1,71,0.4755,,,,,,,,,,,,,,,,,
Central,E,L,15,2,P72,15,0,Low,0,2,49.6,15-0-2,72,0.5422,,,,,,,,,,,,,,,,,
Central,E,L,15,3,P73,15,0,Low,0,3,43.6,15-0-3,73,0.4964,,,,,,,,,,,,,,,,,
Central,E,L,15,4,P74,15,0,Low,0,4,43,15-0-4,74,0.5266,,,,,,,,,,,,,,,,,
Central,E,L,15,5,P75,15,0,Low,0,5,34.7,15-0-5,75,0.5248,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
